"","place","lat","long","indicator","value"
"1","Algoma",47.645916,-84.795152,"Population",114094
"2","Brant",43.152667,-80.171591,"Population",134808
"3","Bruce",44.131298,-81.150693,"Population",68147
"4","Chatham-Kent",42.404803,-82.191038,"Population",102042
"5","Cochrane",49.065026,-81.02993,"Population",79682
"6","Dufferin",44.052752,-80.187506,"Population",61735
"7","Durham",43.936838,-78.928824,"Population",645862
"8","Elgin",42.664587,-80.987107,"Population",88978
"9","Essex",42.172698,-82.818899,"Population",398953
"10","Frontenac",44.579703,-76.565358,"Population",150475
"11","Greater Sudbury",46.522099,-80.953035,"Population",161647
"12","Grey",44.465996,-80.632692,"Population",93830
"13","Haldimand-Norfolk",42.927685,-79.876197,"Population",109787
"14","Haliburton",45.046713,-78.508494,"Population",18062
"15","Halton",43.532537,-79.874484,"Population",548435
"16","Hamilton",43.255721,-79.871102,"Population",536917
"17","Hastings",44.309585,-77.95676,"Population",136445
"18","Huron",43.641657,-81.691156,"Population",59297
"19","Kawartha Lakes",44.533747,-78.900648,"Population",75423
"20","Kenora",49.767042,-94.489392,"Population",65533
"21","Lambton",43.052709,-82.040714,"Population",126638
"22","Lanark",45.008378,-76.358924,"Population",68698
"23","Leeds and Grenville",44.520364,-76.182934,"Population",100546
"24","Lennox and Addington",44.317606,-76.885249,"Population",42888
"25","Manitoulin",45.702647,-82.037176,"Population",13255
"26","Middlesex",42.931042,-81.427898,"Population",455526
"27","Muskoka",45.184112,-79.408465,"Population",60599
"28","Niagara",43.123609,-79.19893,"Population",447888
"29","Nipissing",46.097228,-79.515361,"Population",83150
"30","Northumberland",43.959337,-78.167736,"Population",85598
"31","Ottawa",45.42153,-75.697193,"Population",934243
"32","Oxford",43.131497,-80.747165,"Population",110862
"33","Parry Sound",45.347392,-80.034783,"Population",42824
"34","Peel",43.67664,-79.784842,"Population",1381739
"35","Perth",44.89881,-76.248559,"Population",76796
"36","Peterborough",44.309058,-78.319747,"Population",138236
"37","Prescott and Russell",45.619268,-74.692812,"Population",89333
"38","Prince Edward",44.007313,-77.142369,"Population",24735
"39","Rainy River",48.609949,-93.395528,"Population",20110
"40","Renfrew",45.47492,-76.687719,"Population",102394
"41","Simcoe",42.837263,-80.304042,"Population",479650
"42","Stormont, Dundas and Glengarry",45.021276,-74.730345,"Population",113429
"43","Sudbury",46.522099,-80.953035,"Population",21546
"44","Thunder Bay",48.380895,-89.247682,"Population",146048
"45","Timiskaming",47.830803,-80.31949,"Population",32251
"46","Toronto",43.653226,-79.383184,"Population",2731571
"47","Waterloo",43.464258,-80.52041,"Population",535154
"48","Wellington",43.951752,-77.349643,"Population",222726
"49","York",44.059187,-79.461256,"Population",1109909
"50","Algoma",47.645916,-84.795152,"Bachelors degree or higher (%)",18.52
"51","Brant",43.152667,-80.171591,"Bachelors degree or higher (%)",16.69
"52","Bruce",44.131298,-81.150693,"Bachelors degree or higher (%)",16.68
"53","Chatham-Kent",42.404803,-82.191038,"Bachelors degree or higher (%)",13.06
"54","Cochrane",49.065026,-81.02993,"Bachelors degree or higher (%)",12.27
"55","Dufferin",44.052752,-80.187506,"Bachelors degree or higher (%)",18.22
"56","Durham",43.936838,-78.928824,"Bachelors degree or higher (%)",24.87
"57","Elgin",42.664587,-80.987107,"Bachelors degree or higher (%)",12.33
"58","Essex",42.172698,-82.818899,"Bachelors degree or higher (%)",24
"59","Frontenac",44.579703,-76.565358,"Bachelors degree or higher (%)",30.21
"60","Greater Sudbury",46.522099,-80.953035,"Bachelors degree or higher (%)",20.51
"61","Grey",44.465996,-80.632692,"Bachelors degree or higher (%)",16.56
"62","Haldimand-Norfolk",42.927685,-79.876197,"Bachelors degree or higher (%)",12.03
"63","Haliburton",45.046713,-78.508494,"Bachelors degree or higher (%)",15.64
"64","Halton",43.532537,-79.874484,"Bachelors degree or higher (%)",43.11
"65","Hamilton",43.255721,-79.871102,"Bachelors degree or higher (%)",25.01
"66","Hastings",44.309585,-77.95676,"Bachelors degree or higher (%)",12.89
"67","Huron",43.641657,-81.691156,"Bachelors degree or higher (%)",12.64
"68","Kawartha Lakes",44.533747,-78.900648,"Bachelors degree or higher (%)",11.9
"69","Kenora",49.767042,-94.489392,"Bachelors degree or higher (%)",12.79
"70","Lambton",43.052709,-82.040714,"Bachelors degree or higher (%)",16.1
"71","Lanark",45.008378,-76.358924,"Bachelors degree or higher (%)",17.54
"72","Leeds and Grenville",44.520364,-76.182934,"Bachelors degree or higher (%)",16.34
"73","Lennox and Addington",44.317606,-76.885249,"Bachelors degree or higher (%)",14.45
"74","Manitoulin",45.702647,-82.037176,"Bachelors degree or higher (%)",15.34
"75","Middlesex",42.931042,-81.427898,"Bachelors degree or higher (%)",28.87
"76","Muskoka",45.184112,-79.408465,"Bachelors degree or higher (%)",18.85
"77","Niagara",43.123609,-79.19893,"Bachelors degree or higher (%)",20.74
"78","Nipissing",46.097228,-79.515361,"Bachelors degree or higher (%)",17.74
"79","Northumberland",43.959337,-78.167736,"Bachelors degree or higher (%)",16.46
"80","Ottawa",45.42153,-75.697193,"Bachelors degree or higher (%)",44.97
"81","Oxford",43.131497,-80.747165,"Bachelors degree or higher (%)",13.54
"82","Parry Sound",45.347392,-80.034783,"Bachelors degree or higher (%)",14.14
"83","Peel",43.67664,-79.784842,"Bachelors degree or higher (%)",36.05
"84","Perth",44.89881,-76.248559,"Bachelors degree or higher (%)",16.01
"85","Peterborough",44.309058,-78.319747,"Bachelors degree or higher (%)",22.2
"86","Prescott and Russell",45.619268,-74.692812,"Bachelors degree or higher (%)",16.97
"87","Prince Edward",44.007313,-77.142369,"Bachelors degree or higher (%)",18.68
"88","Rainy River",48.609949,-93.395528,"Bachelors degree or higher (%)",13.33
"89","Renfrew",45.47492,-76.687719,"Bachelors degree or higher (%)",15.8
"90","Simcoe",42.837263,-80.304042,"Bachelors degree or higher (%)",18.27
"91","Stormont, Dundas and Glengarry",45.021276,-74.730345,"Bachelors degree or higher (%)",12.72
"92","Sudbury",46.522099,-80.953035,"Bachelors degree or higher (%)",10.82
"93","Thunder Bay",48.380895,-89.247682,"Bachelors degree or higher (%)",21.75
"94","Timiskaming",47.830803,-80.31949,"Bachelors degree or higher (%)",11.51
"95","Toronto",43.653226,-79.383184,"Bachelors degree or higher (%)",44.14
"96","Waterloo",43.464258,-80.52041,"Bachelors degree or higher (%)",28.68
"97","Wellington",43.951752,-77.349643,"Bachelors degree or higher (%)",29.51
"98","York",44.059187,-79.461256,"Bachelors degree or higher (%)",41.33
"99","Algoma",47.645916,-84.795152,"Median Income",58664
"100","Brant",43.152667,-80.171591,"Median Income",68741
"101","Bruce",44.131298,-81.150693,"Median Income",71193
"102","Chatham-Kent",42.404803,-82.191038,"Median Income",58185
"103","Cochrane",49.065026,-81.02993,"Median Income",68349
